"campus","method","survey_year","site","latitude","longitude","MPA_Name","mpa_type","site_status"
"UCSC","SBTL_UPC_PISCO",2008,"STOCKTON",36.946228,-122.05001,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"HOPKINS_DC",36.623586,-121.904196,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"HOPKINS_UC",36.621649,-121.900789,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PESCADERO_DC",36.559412,-121.955191,"Carmel Bay SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PESCADERO_UC",36.561121,-121.959761,"Carmel Bay SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SIREN",36.630733,-121.91859,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"STILLWATER_DC",36.559729,-121.944014,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"STILLWATER_UC",36.560116,-121.94732,"Carmel Bay SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PINOS",36.640454,-121.928734,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"BLUEFISH_DC",36.52381268,-121.945094,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"BLUEFISH_UC",36.522225,-121.943542,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"LITTLE_IRISH_UC",35.18421,-120.825084,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"LITTLE_IRISH_DC",35.175931,-120.812501,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"LONE_TREE",36.566418,-121.970688,"Carmel Bay SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PT_JOE",36.605094,-121.971465,"Asilomar SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"LITTLE_IRISH_CEN",35.178059,-120.817733,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"WESTON_DC",36.510347,-121.945786,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"WESTON_UC",36.512613,-121.948765,"Point Lobos SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"CROWBAR",35.226163,-120.881427,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"GREEN_PEAK",35.190104,-120.830687,"Point Buchon SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"MONTANA_DE_ORO",35.23323,-120.89081,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"TENERA",35.238631,-120.895481,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"BUCHON",35.244079,-120.901098,"Point Buchon SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"HARMONY",35.49641,-121.057808,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CAYUCOS_DC",35.434393,-120.947256,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CAYUCOS_UC",35.43415,-120.950473,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"LA_CRUZ_DC",35.710426,-121.324076,"Piedras Blancas SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"LA_CRUZ_UC",35.713009,-121.325389,"Piedras Blancas SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"DOLAN_DC",36.100175,-121.628374,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"DOLAN_UC",36.109202,-121.633561,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"MILL_CREEK_DC",35.972098,-121.491162,"Piedras Blancas SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"MILL_CREEK_UC",35.975929,-121.493489,"Piedras Blancas SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PLASKETT_DC",35.912913,-121.480079,"Piedras Blancas SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PLASKETT_UC",35.915871,-121.478733,"Piedras Blancas SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"BIG_CREEK_DC",36.069079,-121.605115,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"BIG_CREEK_UC",36.069152,-121.60804,"Big Creek SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"FULLERS",36.208106,-121.752165,"Point Sur SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"BIXBY",36.368468,-121.907499,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SAN_SIMEON_UC",35.630567,-121.19494,"Cambria SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PALO_COLORADO",36.397717,-121.911431,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PICO_CREEK_UC",35.612518,-121.15569,"Cambria SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PICO_CREEK_DC",35.605322,-121.150695,"Cambria SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"SOBERANES",36.445343,-121.929144,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PURISIMA_N",34.729501,-120.631705,"Vandenberg SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PURISIMA_N",34.729501,-120.631705,"Vandenberg SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PURISIMA_S",34.726948,-120.627138,"Vandenberg SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PURISIMA_S",34.726948,-120.627138,"Vandenberg SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"DUNES",34.7731,-120.65022,"Vandenberg SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"DUNES",34.7731,-120.65022,"Vandenberg SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SURF",34.63022,-120.64252,"Vandenberg SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"VANDENBERG_N",34.740646,-120.642158,"Vandenberg SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"VANDENBERG_N",34.740646,-120.642158,"Vandenberg SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"VANDENBERG_S",34.749687,-120.648418,"Vandenberg SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"CAMBRIA_DC",35.567893,-121.124319,"Cambria SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"CAMBRIA_UC",35.570495,-121.127145,"Cambria SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"WHITE_ROCK_DC",35.525649,-121.084627,"White Rock SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"WHITE_ROCK_UC",35.5271,-121.089899,"White Rock SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"SAN_SIMEON_DC",35.631667,-121.190248,"Cambria SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"NORTH_SAN_SIMEON",35.635042,-121.211614,"Piedras Blancas SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SAN_SIMEON_BAY",35.62405,-121.164699,"Cambria SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"PINNACLES_OUT",36.557936,-121.967737,"Carmel Pinnacles SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PINNACLES_IN",36.559476,-121.966113,"Carmel Pinnacles SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"RADAR",35.512221,-121.073443,"White Rock SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"PARANOIDS",35.537171,-121.100215,"White Rock SMCA","SMCA","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"ESTERO",35.472387,-121.029631,"White Rock SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SOUTH_WRECK_DC",36.223864,-121.787408,"Point Sur SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"SOUTH_WRECK_UC",36.225295,-121.790545,"Point Sur SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"ESALEN_DC",36.124409,-121.647987,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"ESALEN_UC",36.128113,-121.653046,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"LOPEZ_DC",36.022241,-121.581233,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"LOPEZ_UC",36.02901,-121.581676,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"COOPER",36.263146,-121.856608,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"TORRE_CANYON",36.184218,-121.707798,"Point Sur SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2008,"ANDREW_MOLERA_DC",36.276089,-121.873038,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"ANDREW_MOLERA_UC",36.277685,-121.875988,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"FALSE_SUR",36.277556,-121.886822,"Point Sur SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2008,"MALPASO",36.465747,-121.933984,"Point Lobos SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"HOPKINS_DC",36.623586,-121.904196,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"HOPKINS_UC",36.621649,-121.900789,"Lovers Point - Julia Platt SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"MACABEE_DC",36.618184,-121.896835,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"MACABEE_UC",36.617148,-121.895695,"Lovers Point - Julia Platt SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"TERRACE_DC",36.944871,-122.064289,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"TERRACE_UC",36.944908,-122.066281,"Natural Bridges SMR","SMR","mpa"
"UCSC","SBTL_UPC_PISCO",2009,"SANDHILL_DC",36.97293,-122.149429,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"SANDHILL_UC",36.974306,-122.152109,"Natural Bridges SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"PESCADERO_DC",36.559412,-121.955191,"Carmel Bay SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2009,"PESCADERO_UC",36.561121,-121.959761,"Carmel Bay SMCA","SMCA","reference"
"UCSC","SBTL_UPC_PISCO",2009,"LOPEZ_DC",36.022241,-121.581233,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"LOPEZ_UC",36.02901,-121.581676,"Big Creek SMR","SMR","reference"
"UCSC","SBTL_UPC_PISCO",2009,"BIG_CREEK_DC",36.069079,-121.605115,"Big Creek SMR","SMR","mpa"
